http://core.espnuk.org/v2/sports/cricket/leagues/1113426/events/1113516 (ERROR: insert or update on table "match_status" violates foreign key constraint "match_status_potm_athlete_id_fkey"
DETAIL:  Key (potm_athlete_id)=(1106363) is not present in table "athletes".)
http://core.espnuk.org/v2/sports/cricket/leagues/1113426/events/1113499 (ERROR: insert or update on table "match_status" violates foreign key constraint "match_status_potm_athlete_id_fkey"
DETAIL:  Key (potm_athlete_id)=(1114421) is not present in table "athletes".)
http://core.espnuk.org/v2/sports/cricket/leagues/595030/events/595108 (ERROR: ESPN API corruption detected (>10000 deliveries) for http://core.espnuk.org/v2/sports/cricket/leagues/595030/events/595108. Abandoning match.)
DETAIL:  Key (ERROR: Max retries reached for DETAIL:  Key: detail:%20%20Key)
http://core.espnuk.org/v2/sports/cricket/leagues/1113426/events/1113491 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17935/events/1113491/competitions/1113491/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/474013/events/474051 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/8626/events/474051/competitions/474051/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1167337/events/1167346 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/8798/events/1167346/competitions/1167346/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1102113/events/1103245 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17905/events/1103245/competitions/1103245/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1113426/events/1113535 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17935/events/1113535/competitions/1113535/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1104994/events/1105234 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17903/events/1105234/competitions/1105234/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1104994/events/1105239 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17903/events/1105239/competitions/1105239/matchcards with status 500)
http://core.espnuk.org/v2/sports/cricket/leagues/1107035/events/1107082 (ERROR: Max retries reached for http://core.espnuk.org/v2/sports/cricket/leagues/17902/events/1107082/competitions/1107082/matchcards with status 500)
